DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
CAUCA,POPAYÁN (CT),19001000,NO REPORTA,9/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CALOTO,19142000,SIN EMPLEO DE ARMAS,9/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,10/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,10/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PURACÉ,19585000,ARMA DE FUEGO,11/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PIENDAMÓ,19548000,NO REPORTA,11/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,2
CAUCA,VILLA RICA,19845000,ARMA DE FUEGO,12/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,TIMBÍO,19807000,LLAVE MAESTRA,13/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,MIRANDA,19455000,NO REPORTA,13/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CORINTO,19212000,ARMA DE FUEGO,14/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,15/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,GUACHENÉ,19300000,ARMA DE FUEGO,15/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,EL TAMBO,19256000,SIN EMPLEO DE ARMAS,15/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,GUACHENÉ,19300000,SIN EMPLEO DE ARMAS,15/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PIENDAMÓ,19548000,SIN EMPLEO DE ARMAS,15/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,15/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CORINTO,19212000,NO REPORTA,17/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PIENDAMÓ,19548000,NO REPORTA,17/01/2019,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
